MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
500,1,0,0,8123724
500,4,0,1,4976374
500,4,0,0,6763526
500,9,0,3,4497364
500,9,0,2,4496860
500,9,0,1,4432194
500,9,0,0,6397780
500,9,0,4,4463566
500,16,0,4,4405739
500,16,0,3,4243563
500,16,0,1,4243395
500,16,0,7,4405907
500,16,0,5,4405907
500,16,0,0,6381494
500,16,0,2,4243395
500,16,0,6,4405907
500,25,0,0,6460931
500,25,0,6,4197104
500,25,0,5,4197104
500,25,0,2,4211984
500,25,0,12,4361224
500,25,0,8,4375674
500,25,0,9,4262356
500,25,0,10,4262358
500,25,0,3,4211984
500,25,0,4,4212152
500,25,0,11,4262358
500,25,0,1,4211816
500,25,0,7,4197104
500,36,0,4,4188555
500,36,0,8,4128585
500,36,0,0,6638304
500,36,0,15,4194721
500,36,0,12,4194721
500,36,0,2,4164009
500,36,0,17,4294133
500,36,0,10,4128755
500,36,0,9,4128753
500,36,0,16,4261181
500,36,0,1,4130675
500,36,0,13,4194721
500,36,0,3,4164177
500,36,0,11,4128755
500,36,0,7,4128753
500,36,0,14,4194721
500,36,0,5,4130695
500,36,0,6,4128753
500,49,0,20,4214370
500,49,0,24,4248214
500,49,0,12,4149102
500,49,0,14,4149082
500,49,0,1,4117540
500,49,0,17,4115620
500,49,0,6,4117708
500,49,0,21,4182116
500,49,0,5,4117708
500,49,0,9,4149100
500,49,0,15,4149082
500,49,0,4,4183076
500,49,0,8,4115598
500,49,0,2,4117540
500,49,0,3,4117708
500,49,0,23,4181586
500,49,0,19,4181586
500,49,0,18,4181586
500,49,0,10,4149102
500,49,0,16,4115600
500,49,0,7,4115766
500,49,0,0,6899482
500,49,0,22,4181586
500,49,0,11,4149082
500,49,0,13,4149082
500,64,0,22,4109925
500,64,0,13,4109457
500,64,0,3,4175207
500,64,0,4,4219391
500,64,0,30,4264041
500,64,0,11,4109477
500,64,0,29,4230727
500,64,0,1,4287227
500,64,0,25,4197413
500,64,0,5,4142321
500,64,0,8,4185789
500,64,0,9,4109455
500,64,0,24,4252501
500,64,0,16,4186219
500,64,0,27,4197301
500,64,0,7,4142321
500,64,0,26,4213701
500,64,0,6,4142321
500,64,0,0,7139156
500,64,0,31,4330155
500,64,0,2,4175187
500,64,0,23,4109793
500,64,0,28,4285835
500,64,0,19,4109925
500,64,0,18,4109905
500,64,0,17,4109925
500,64,0,21,4109793
500,64,0,14,4109457
500,64,0,10,4109477
500,64,0,15,4109457
500,64,0,12,4185959
500,64,0,20,4186387
1000,1,0,0,23123728
1000,4,0,1,7976378
1000,4,0,0,15013530
1000,9,0,4,5802242
1000,9,0,2,5835536
1000,9,0,1,5770870
1000,9,0,3,5836040
1000,9,0,0,13358242
1000,16,0,1,4993379
1000,16,0,0,12877034
1000,16,0,3,4993567
1000,16,0,6,4991605
1000,16,0,2,4993379
1000,16,0,7,4991625
1000,16,0,4,4991457
1000,16,0,5,4991605
1000,25,0,7,4677088
1000,25,0,10,4643628
1000,25,0,11,4643608
1000,25,0,6,4677088
1000,25,0,1,4645548
1000,25,0,0,12753803
1000,25,0,5,4677108
1000,25,0,2,4645548
1000,25,0,9,4643606
1000,25,0,8,4643606
1000,25,0,12,4676942
1000,25,0,4,4645548
1000,25,0,3,4645716
1000,36,0,16,4528547
1000,36,0,6,4462085
1000,36,0,1,4464007
1000,36,0,17,4528715
1000,36,0,4,4463727
1000,36,0,8,4461785
1000,36,0,14,4462087
1000,36,0,9,4461953
1000,36,0,2,4497341
1000,36,0,12,4462087
1000,36,0,15,4462087
1000,36,0,3,4497509
1000,36,0,7,4462085
1000,36,0,0,12921522
1000,36,0,11,4462087
1000,36,0,13,4461955
1000,36,0,10,4462087
1000,36,0,5,4463895
1000,49,0,24,4426492
1000,49,0,17,4359864
1000,49,0,5,4361952
1000,49,0,23,4359864
1000,49,0,7,4360010
1000,49,0,9,4393344
1000,49,0,22,4359864
1000,49,0,1,4361784
1000,49,0,18,4359864
1000,49,0,20,4359732
1000,49,0,21,4426808
1000,49,0,10,4393326
1000,49,0,13,4393326
1000,49,0,8,4359842
1000,49,0,12,4393346
1000,49,0,4,4361784
1000,49,0,11,4393326
1000,49,0,0,12968139
1000,49,0,6,4361952
1000,49,0,19,4359864
1000,49,0,15,4393326
1000,49,0,3,4361952
1000,49,0,14,4393326
1000,49,0,2,4361784
1000,49,0,16,4359844
1000,64,0,15,4333415
1000,64,0,8,4333245
1000,64,0,20,4333751
1000,64,0,14,4333435
1000,64,0,6,4366747
1000,64,0,27,4433065
1000,64,0,24,4432897
1000,64,0,16,4333583
1000,64,0,4,4366579
1000,64,0,9,4333413
1000,64,0,19,4333751
1000,64,0,11,4333415
1000,64,0,5,4366747
1000,64,0,17,4333751
1000,64,0,25,4433065
1000,64,0,22,4333751
1000,64,0,18,4333751
1000,64,0,13,4333415
1000,64,0,23,4333751
1000,64,0,1,4432291
1000,64,0,28,4466379
1000,64,0,26,4433065
1000,64,0,31,4533007
1000,64,0,2,4399425
1000,64,0,30,4565133
1000,64,0,29,4466379
1000,64,0,21,4333751
1000,64,0,12,4333415
1000,64,0,10,4333415
1000,64,0,3,4399593
1000,64,0,0,15698951
1000,64,0,7,4366727
2000,1,0,0,83123728
2000,4,0,1,19976378
2000,4,0,0,48013530
2000,9,0,0,41358214
2000,9,0,1,11104198
2000,9,0,4,11135570
2000,9,0,3,11104366
2000,9,0,2,11105365
2000,16,0,2,7993399
2000,16,0,1,7993399
2000,16,0,7,7991625
2000,16,0,0,38994815
2000,16,0,6,7991625
2000,16,0,3,7993567
2000,16,0,5,7991625
2000,16,0,4,7991457
2000,25,0,5,6597088
2000,25,0,6,6597088
2000,25,0,8,6563606
2000,25,0,4,6565548
2000,25,0,2,6565548
2000,25,0,9,6563626
2000,25,0,1,6565548
2000,25,0,3,6565716
2000,25,0,12,6596942
2000,25,0,11,6563628
2000,25,0,0,37926964
2000,25,0,7,6597088
2000,25,0,10,6563496
2000,36,0,9,5800757
2000,36,0,5,5802699
2000,36,0,7,5800757
2000,36,0,6,5800757
2000,36,0,13,5800759
2000,36,0,16,5867219
2000,36,0,1,5802679
2000,36,0,3,5836181
2000,36,0,8,5800589
2000,36,0,15,5800759
2000,36,0,10,5800759
2000,36,0,2,5835993
2000,36,0,0,37887438
2000,36,0,11,5800759
2000,36,0,14,5800759
2000,36,0,4,5802531
2000,36,0,12,5800759
2000,36,0,17,5867387
2000,49,0,22,5341416
2000,49,0,15,5374898
2000,49,0,21,5408360
2000,49,0,8,5341394
2000,49,0,9,5374876
2000,49,0,3,5343504
2000,49,0,13,5374878
2000,49,0,12,5374878
2000,49,0,14,5374898
2000,49,0,11,5374898
2000,49,0,17,5341416
2000,49,0,20,5341416
2000,49,0,5,5343504
2000,49,0,6,5343504
2000,49,0,16,5341396
2000,49,0,4,5343336
2000,49,0,19,5341416
2000,49,0,7,5341562
2000,49,0,2,5343336
2000,49,0,24,5408024
2000,49,0,1,5343336
2000,49,0,0,37850566
2000,49,0,10,5374878
2000,49,0,18,5341416
2000,49,0,23,5341416
2000,64,0,18,5083863
2000,64,0,3,5149613
2000,64,0,22,5083863
2000,64,0,23,5083863
2000,64,0,19,5083863
2000,64,0,13,5083415
2000,64,0,24,5117065
2000,64,0,7,5116727
2000,64,0,31,5217007
2000,64,0,15,5083415
2000,64,0,12,5083415
2000,64,0,26,5117065
2000,64,0,9,5083433
2000,64,0,17,5083883
2000,64,0,11,5083415
2000,64,0,4,5116579
2000,64,0,21,5083863
2000,64,0,28,5150379
2000,64,0,30,5183693
2000,64,0,2,5149425
2000,64,0,16,5083695
2000,64,0,5,5116727
2000,64,0,20,5083863
2000,64,0,25,5117177
2000,64,0,29,5150379
2000,64,0,10,5083415
2000,64,0,27,5117177
2000,64,0,6,5116727
2000,64,0,14,5083415
2000,64,0,8,5083245
2000,64,0,1,5182291
2000,64,0,0,37741824
500,1,1,0,8123724
500,4,1,0,6763526
500,4,1,1,4976374
500,9,1,3,4497364
500,9,1,4,4463566
500,9,1,2,4496860
500,9,1,0,6397780
500,9,1,1,4432174
500,16,1,4,4340187
500,16,1,1,4243395
500,16,1,0,6381494
500,16,1,2,4243395
500,16,1,5,4340355
500,16,1,3,4243563
500,16,1,6,4340355
500,16,1,7,4340355
500,25,1,10,4262358
500,25,1,11,4262358
500,25,1,5,4197084
500,25,1,9,4262356
500,25,1,12,4295672
500,25,1,1,4165544
500,25,1,4,4212152
500,25,1,7,4197084
500,25,1,3,4211984
500,25,1,6,4197084
500,25,1,8,4375674
500,25,1,0,10512990
500,25,1,2,4211984
500,36,1,10,4128755
500,36,1,17,4261349
500,36,1,15,4194721
500,36,1,12,4194553
500,36,1,11,4128755
500,36,1,2,4164009
500,36,1,4,4188555
500,36,1,6,4128753
500,36,1,16,4261181
500,36,1,13,4194721
500,36,1,9,4128753
500,36,1,3,4164157
500,36,1,14,4194721
500,36,1,0,6638304
500,36,1,1,4130675
500,36,1,8,4128585
500,36,1,7,4128753
500,36,1,5,4130695
500,49,1,22,4181586
500,49,1,13,4149082
500,49,1,14,4149082
500,49,1,4,4183076
500,49,1,3,4117708
500,49,1,2,4117540
500,49,1,21,4182116
500,49,1,7,4115766
500,49,1,0,6899482
500,49,1,18,4181586
500,49,1,17,4115620
500,49,1,5,4117708
500,49,1,9,4149080
500,49,1,23,4181586
500,49,1,16,4115600
500,49,1,8,4115598
500,49,1,1,4117540
500,49,1,19,4181586
500,49,1,12,4149082
500,49,1,6,4117708
500,49,1,11,4149082
500,49,1,15,4149082
500,49,1,20,4214370
500,49,1,24,4248214
500,49,1,10,4149082
500,64,1,3,4175207
500,64,1,21,4109925
500,64,1,19,4109793
500,64,1,24,4252501
500,64,1,10,4109477
500,64,1,11,4109457
500,64,1,20,4109793
500,64,1,9,4109455
500,64,1,7,4142341
500,64,1,14,4109457
500,64,1,1,4287227
500,64,1,28,4285703
500,64,1,8,4185769
500,64,1,13,4109457
500,64,1,23,4109905
500,64,1,15,4109457
500,64,1,31,4330155
500,64,1,4,4219391
500,64,1,30,4263929
500,64,1,5,4142341
500,64,1,6,4142341
500,64,1,29,4230615
500,64,1,22,4109905
500,64,1,27,4213701
500,64,1,18,4109925
500,64,1,2,4175207
500,64,1,26,4213813
500,64,1,0,7139156
500,64,1,17,4109793
500,64,1,25,4197413
500,64,1,12,4185939
500,64,1,16,4186107
1000,1,1,0,23123728
1000,4,1,1,7976378
1000,4,1,0,15013530
1000,9,1,0,13358242
1000,9,1,3,5836040
1000,9,1,4,5802242
1000,9,1,2,5835536
1000,9,1,1,5770870
1000,16,1,1,4993399
1000,16,1,3,4993567
1000,16,1,6,4991625
1000,16,1,5,4991625
1000,16,1,7,4991625
1000,16,1,4,4991457
1000,16,1,2,4993399
1000,16,1,0,12877034
1000,25,1,12,4676942
1000,25,1,7,4677108
1000,25,1,9,4643606
1000,25,1,2,4645548
1000,25,1,8,4643606
1000,25,1,11,4643608
1000,25,1,10,4643608
1000,25,1,0,12753803
1000,25,1,5,4677108
1000,25,1,4,4645548
1000,25,1,6,4677108
1000,25,1,3,4645716
1000,25,1,1,4645548
1000,36,1,5,4464027
1000,36,1,11,4462087
1000,36,1,6,4462085
1000,36,1,10,4462087
1000,36,1,17,4528715
1000,36,1,0,12921522
1000,36,1,12,4462087
1000,36,1,7,4462085
