MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
500,1,0,0,8999262
500,4,0,1,5100270
500,4,0,0,6886121
500,9,0,1,4582993
500,9,0,4,4613429
500,9,0,2,4645669
500,9,0,0,6573764
500,9,0,3,4646173
500,16,0,4,4419391
500,16,0,6,4517239
500,16,0,3,4421363
500,16,0,7,4517239
500,16,0,5,4517239
500,16,0,2,4421195
500,16,0,1,4421195
500,16,0,0,6552912
500,25,0,5,4419009
500,25,0,9,4484281
500,25,0,4,4437117
500,25,0,0,6640578
500,25,0,1,4388405
500,25,0,10,4484283
500,25,0,7,4419029
500,25,0,11,4484283
500,25,0,8,4534033
500,25,0,3,4436949
500,25,0,12,4582095
500,25,0,6,4419009
500,25,0,2,4436949
1000,1,0,0,23999266
1000,4,0,0,15136125
1000,4,0,1,8100274
1000,9,0,4,5952105
1000,9,0,2,5984345
1000,9,0,1,5921537
1000,9,0,3,5984849
1000,9,0,0,13508912
1000,16,0,3,5171367
1000,16,0,6,5169563
1000,16,0,7,5169543
1000,16,0,4,5169395
1000,16,0,5,5169543
1000,16,0,2,5171219
1000,16,0,1,5171199
1000,16,0,0,13082820
1000,25,0,9,4866605
1000,25,0,8,4866585
1000,25,0,11,4866607
1000,25,0,12,4898867
1000,25,0,7,4899033
1000,25,0,4,4868409
1000,25,0,10,4866587
1000,25,0,5,4899033
1000,25,0,3,4868577
1000,25,0,6,4899013
1000,25,0,1,4868409
1000,25,0,0,13000414
1000,25,0,2,4868409
2000,1,0,0,83999266
2000,4,0,1,20100274
2000,4,0,0,48136125
2000,9,0,0,41508884
2000,9,0,4,11285433
2000,9,0,3,11255165
2000,9,0,1,11254997
2000,9,0,2,11255055
2000,16,0,4,8169263
2000,16,0,1,8171087
2000,16,0,3,8171387
2000,16,0,6,8169431
2000,16,0,5,8169431
2000,16,0,2,8171087
2000,16,0,0,39172374
2000,16,0,7,8169431
2000,25,0,4,6788409
2000,25,0,8,6786585
2000,25,0,10,6786475
2000,25,0,2,6788409
2000,25,0,12,6818867
2000,25,0,3,6788577
2000,25,0,9,6786473
2000,25,0,0,38149696
2000,25,0,1,6788409
2000,25,0,5,6819013
2000,25,0,7,6819013
2000,25,0,6,6819013
2000,25,0,11,6786475
500,1,1,0,8999262
500,4,1,0,6886121
500,4,1,1,5100270
500,9,1,0,6573764
500,9,1,1,4582861
500,9,1,3,4646173
500,9,1,4,4613429
500,9,1,2,4645669
500,16,1,2,4421215
500,16,1,3,4421383
500,16,1,0,6552744
500,16,1,6,4419559
500,16,1,1,4421215
500,16,1,4,4419391
500,16,1,5,4419559
500,16,1,7,4419559
500,25,1,4,4388405
500,25,1,12,4516543
500,25,1,5,4419029
500,25,1,0,6640578
500,25,1,11,4386471
500,25,1,7,4419009
500,25,1,6,4419029
500,25,1,9,4484281
500,25,1,3,4388573
500,25,1,8,4465441
500,25,1,1,4388405
500,25,1,10,4386471
500,25,1,2,4436949
1000,1,1,0,23999266
1000,4,1,1,8100274
1000,4,1,0,15136125
