processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,500,1.255463,1.246330,0.008973,69364,8
4,500,0.708611,0.654508,0.169681,68360,44
9,500,0.666680,0.595318,0.215284,68224,227
16,500,0.684744,0.589599,0.227522,68796,468
25,500,1.589671,1.044004,0.498866,69688,38603
1,1000,10.520390,10.472503,0.036741,84508,44
4,1000,3.410048,3.277317,0.582036,76192,44
9,1000,2.991241,2.595676,0.867644,75356,162
16,1000,2.496201,2.181448,0.826886,74864,563
25,1000,6.285223,3.834907,1.542731,75484,159841
1,2000,103.453762,103.052406,0.354871,143164,179
4,2000,28.167460,26.157870,3.974831,108792,102
9,2000,24.474746,21.623064,6.880661,102380,157
16,2000,21.049660,19.921713,5.474590,100392,672
25,2000,21.996334,12.759927,3.820814,99704,346056
1,500,1.276556,1.261347,0.015074,69476,7
4,500,0.716437,0.648870,0.172983,68228,66
9,500,0.614163,0.560994,0.192250,68512,156
16,500,0.628687,0.550518,0.209165,69176,439
25,500,1.927491,1.041525,0.525551,69296,44665
1,1000,10.637489,10.584164,0.047919,84600,29
4,1000,3.399078,3.245869,0.651920,76348,121
9,1000,2.333309,2.186165,0.628947,74448,214
16,1000,2.450752,2.151302,0.800961,74812,359
25,1000,5.168613,2.976002,1.375435,75624,116480
1,2000,104.175984,103.762215,0.364710,143288,270
4,2000,28.338899,27.022286,3.169159,108376,351
9,2000,28.069992,27.486873,8.092539,102356,313
16,2000,20.034519,18.769436,5.099681,100392,502
25,2000,28.950369,16.802953,6.389862,99352,537864
1,500,1.270118,1.252042,0.017908,69448,10
4,500,0.699864,0.661657,0.173113,68256,78
9,500,0.934423,0.758593,0.307359,68544,309
16,500,1.115132,1.034388,0.393452,68816,461
25,500,1.516679,0.891399,0.373399,69720,51260
1,1000,11.766513,11.693856,0.062724,84560,40
4,1000,3.691626,3.423817,0.738721,75896,22
9,1000,2.970478,2.603468,0.893972,74872,268
16,1000,3.098917,2.937521,0.915957,75244,660
25,1000,4.904565,3.304884,1.166892,75128,111088
1,2000,108.400031,107.936102,0.417175,143164,153
4,2000,28.110439,27.414781,2.883261,108844,98
9,2000,26.863405,26.612533,7.143338,102028,422
16,2000,18.953757,18.242314,4.516842,100332,539
25,2000,27.065782,15.195787,5.336516,99284,438404
1,500,1.262662,1.242594,0.019949,69344,8
4,500,0.699203,0.643921,0.186445,68132,43
9,500,0.888811,0.838985,0.291732,68500,141
16,500,0.666339,0.580312,0.215130,68908,418
25,500,1.328559,0.735622,0.338271,68976,43388
1,1000,11.731302,11.657888,0.063667,84292,31
4,1000,3.374811,3.262032,0.603525,76220,25
9,1000,3.424202,2.906769,1.038185,74904,192
16,1000,3.827557,3.634501,1.085440,74820,586
25,1000,4.420199,3.039847,1.052742,75296,97351
1,2000,104.816850,104.427610,0.341239,143188,227
4,2000,27.324688,26.671250,2.770521,108080,275
9,2000,26.676789,23.137520,7.360919,102288,297
16,2000,17.467110,16.342072,4.125937,100840,581
25,2000,28.582265,17.355559,5.508655,99444,481099
1,500,1.297232,1.280239,0.016878,69696,11
4,500,0.794011,0.719814,0.202447,67816,61
9,500,0.674136,0.590942,0.222546,68760,277
16,500,1.100988,1.033446,0.328358,69464,565
25,500,1.554498,1.096456,0.405418,69308,54685
1,1000,11.669954,11.607608,0.050861,84316,38
4,1000,3.478160,3.309534,0.659375,75984,128
9,1000,5.011218,4.215553,1.669332,74952,315
16,1000,3.357999,3.194753,0.971503,75296,539
25,1000,6.705731,4.064438,1.577471,75588,157878
1,2000,104.063723,103.655073,0.360279,142876,258
4,2000,30.477399,28.675265,3.609480,108280,102
9,2000,31.531483,30.005338,9.212354,101948,414
16,2000,21.207027,20.498841,5.507434,100360,475
25,2000,29.104031,16.847479,5.898948,99728,497118
1,500,1.276803,1.260727,0.015980,69896,6
4,500,0.709399,0.661408,0.167833,67900,23
9,500,1.139597,1.071722,0.414247,68144,180
16,500,0.642507,0.556031,0.221539,69688,646
25,500,1.821106,1.099640,0.475528,69668,56278
1,1000,11.593141,11.525150,0.058745,84372,44
4,1000,3.351606,3.246924,0.613657,76260,97
9,1000,3.159210,2.725509,0.931486,74192,284
16,1000,4.252700,4.054701,1.282263,75132,547
25,1000,4.939903,3.069861,1.089258,75200,112271
1,2000,104.692169,104.264554,0.379100,143160,186
4,2000,29.027220,27.633298,3.257056,108640,146
9,2000,29.672824,28.600250,8.200679,101936,283
16,2000,19.866788,18.970533,4.785327,100872,566
25,2000,27.912006,16.398430,5.718790,99612,493601
1,500,1.293478,1.273446,0.019922,69620,11
4,500,0.692957,0.643793,0.161386,68320,105
9,500,1.194711,1.102659,0.391633,68600,262
16,500,0.659274,0.578457,0.209157,69544,433
25,500,1.207111,0.750159,0.292974,69392,45116
1,1000,11.584055,11.513610,0.058915,84180,36
4,1000,3.794311,3.556605,0.784446,76212,99
9,1000,2.984170,2.614244,0.876486,75724,223
16,1000,3.109575,2.771523,1.032437,75284,492
25,1000,5.192670,2.876377,1.364368,75844,166366
1,2000,105.479126,105.075572,0.355233,143036,183
4,2000,27.827023,27.024192,2.698369,107960,141
9,2000,36.222455,33.083252,10.966461,102368,319
16,2000,19.597840,18.724035,4.393528,100396,628
25,2000,33.080299,17.769970,6.826055,99476,626448
1,500,1.275705,1.253613,0.021941,69752,11
4,500,0.699910,0.655655,0.175772,68040,370
9,500,1.073622,0.882377,0.354746,68712,194
16,500,1.133714,1.054942,0.355560,68396,518
25,500,1.767818,1.076506,0.495601,69388,52964
1,1000,11.690187,11.623148,0.055904,84100,29
4,1000,3.471176,3.323673,0.648203,76000,296
9,1000,4.839689,4.615635,1.589093,74700,184
16,1000,4.192356,3.994206,1.290115,75372,394
25,1000,5.804879,4.046616,1.430065,75612,115983
1,2000,102.720064,102.311646,0.360887,143032,228
4,2000,30.625145,28.760364,3.730024,107784,136
9,2000,32.696445,29.060060,9.606438,101988,401
16,2000,18.036857,17.454264,3.836899,100612,576
25,2000,30.204118,17.543174,6.535721,99544,514535
1,500,1.270700,1.254443,0.016101,69760,9
4,500,0.689403,0.654331,0.166356,68016,30
9,500,0.867109,0.813469,0.287363,68404,139
16,500,0.643386,0.550976,0.217736,68728,408
25,500,1.147401,0.708164,0.338242,69276,39933
1,1000,11.663152,11.602122,0.054752,84384,43
4,1000,3.499127,3.316325,0.701998,76104,355
9,1000,2.808144,2.495690,0.793923,74504,274
16,1000,4.201929,4.012275,1.243054,74808,560
25,1000,5.994547,3.955150,1.345838,75604,111611
1,2000,105.207158,104.786483,0.372400,143108,215
4,2000,31.023869,28.935548,4.090785,108472,170
9,2000,22.250642,20.018233,5.694731,102432,343
16,2000,17.105135,15.643566,4.164807,100652,879
25,2000,29.118954,15.831055,6.151665,99340,535073
1,500,1.255600,1.246555,0.008916,69876,11
4,500,0.693751,0.650562,0.152304,67880,98
9,500,0.680286,0.593344,0.217449,68240,251
16,500,1.083941,1.030668,0.373235,69660,583
25,500,1.304945,0.736301,0.336798,68964,39418
1,1000,11.778465,11.691667,0.075613,84492,42
4,1000,3.948507,3.623073,0.835573,75888,227
9,1000,3.004147,2.618990,0.961400,74828,411
16,1000,4.158043,3.978057,1.290412,74248,568
25,1000,5.666991,4.233815,1.317210,75844,109641
1,2000,104.595091,104.179452,0.367754,143180,230
4,2000,27.547852,26.685481,2.735775,108184,100
9,2000,22.274393,19.826730,5.954512,102192,193
16,2000,19.279369,18.789917,4.429158,100440,555
25,2000,28.428661,17.679093,5.530401,99680,510867
1,500,1.271985,1.258953,0.012876,69796,9
4,500,0.720131,0.659924,0.173488,67784,159
9,500,1.137351,1.083492,0.394078,68248,366
16,500,1.082646,1.021359,0.371024,69724,503
25,500,1.540229,0.861475,0.430966,69228,64439
1,1000,11.551411,11.472095,0.066882,84124,32
4,1000,3.688377,3.454768,0.732638,76492,413
9,1000,2.790877,2.490318,0.914499,74892,447
16,1000,3.107190,2.950028,1.000218,75480,656
25,1000,4.718279,2.752065,1.160630,75760,117479
1,2000,102.299299,101.899870,0.349843,142776,208
4,2000,28.189318,27.176733,2.946749,108504,160
9,2000,21.424191,19.429634,5.487577,102032,149
16,2000,19.665079,18.815484,4.444112,99812,611
25,2000,30.600947,17.602493,5.926441,99792,530122
1,500,1.273923,1.257787,0.015949,69740,11
4,500,0.698620,0.658559,0.166511,68264,54
9,500,1.652450,1.367329,0.578032,68424,166
16,500,1.072085,1.014883,0.388507,69516,402
25,500,1.493143,1.091204,0.404442,69344,39954
1,1000,11.566200,11.503134,0.052753,84160,28
4,1000,3.400743,3.265507,0.577806,75892,300
9,1000,2.933315,2.829359,0.865435,74444,492
16,1000,3.106049,2.934428,1.022714,74728,391
25,1000,5.247762,3.228281,1.296607,75856,126228
1,2000,103.321125,102.927743,0.346695,143032,174
4,2000,27.078843,26.476363,2.499670,108444,168
9,2000,21.374397,19.300068,5.401076,102160,357
16,2000,20.792762,19.812223,5.180047,100576,482
25,2000,27.660039,16.005957,5.612998,99636,458794
1,500,1.271644,1.253588,0.017945,69684,8
4,500,0.733031,0.681830,0.200260,68036,72
9,500,0.645353,0.566703,0.192304,68052,124
16,500,0.644793,0.564132,0.220124,69512,567
25,500,1.055970,0.614786,0.285914,69200,38790
1,1000,11.643212,11.576344,0.056976,84436,31
4,1000,3.515090,3.321484,0.678956,76064,169
9,1000,4.351372,4.257174,1.403823,75048,201
16,1000,3.098577,2.943963,1.002606,75520,414
25,1000,4.965602,3.426874,1.080605,75380,100371
1,2000,104.336070,103.904480,0.384934,143004,201
4,2000,27.509919,26.857592,2.561905,108276,205
9,2000,29.464745,28.644390,7.967770,101904,244
16,2000,19.983013,19.336300,4.593954,100784,657
25,2000,29.213339,17.677000,5.934589,99644,507415
1,500,1.268562,1.249498,0.018929,69592,12
4,500,0.689893,0.641706,0.167797,68312,136
9,500,0.624134,0.572611,0.217311,68780,185
16,500,1.073780,1.010887,0.385158,69268,543
25,500,1.454649,0.878899,0.336736,69464,50428
1,1000,11.682665,11.615030,0.060779,84212,33
4,1000,3.423191,3.296505,0.597008,76156,163
9,1000,3.237992,2.768724,0.945326,75080,292
16,1000,2.455818,2.181020,0.771040,75544,784
25,1000,6.352117,3.864393,1.458778,75328,134161
1,2000,103.816478,103.435547,0.338778,143004,271
4,2000,26.532452,26.183681,2.341255,108276,190
9,2000,22.961951,20.526338,5.882586,102176,245
16,2000,20.412637,19.615088,5.069538,100384,591
25,2000,27.533333,16.978669,5.456702,99580,523847
1,500,1.271305,1.259272,0.011909,69604,11
4,500,0.689363,0.643263,0.182490,68160,49
9,500,0.678948,0.604582,0.209525,68892,340
16,500,0.620167,0.536175,0.217425,69432,420
