processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,500,1.097271,1.079403,0.017853,64796,8
4,500,0.647204,0.592461,0.272119,72828,24
9,500,0.561668,0.494785,0.267896,70604,68
16,500,0.589767,0.542484,0.322858,71700,75
25,500,0.604113,0.482116,0.337039,72308,147
36,500,0.620112,0.492627,0.356431,72348,334
49,500,0.891942,0.713866,0.520515,73532,361
64,500,0.921794,0.709718,0.515494,74456,580
1,1000,6.963495,6.880291,0.074706,79004,18
4,1000,2.901847,2.788275,0.873271,79488,25
9,1000,2.165547,2.043664,0.944672,78004,49
16,1000,1.985053,1.849856,1.001857,77264,87
25,1000,1.957766,1.749972,1.073264,76112,125
36,1000,2.079266,1.745683,1.208193,77612,499
49,1000,2.812116,2.442363,1.687988,79736,408
64,1000,2.590650,2.350006,1.434857,83056,527
1,2000,54.402158,53.976592,0.382590,138028,130
4,2000,16.705396,16.442209,3.608408,112312,94
9,2000,10.702316,10.380853,3.692590,105344,68
16,2000,8.569846,8.292843,3.661254,103064,110
25,2000,7.706669,7.357679,3.740782,102780,151
36,2000,10.691473,10.252311,5.992760,101752,247
49,2000,7.741168,6.713794,4.313333,102968,245
64,2000,10.042810,9.405285,5.423627,103036,533
1,500,1.086408,1.064490,0.021896,64916,7
4,500,0.653125,0.599370,0.271732,72424,27
9,500,0.584024,0.516713,0.287773,70824,33
16,500,0.560658,0.488212,0.307988,72376,120
25,500,0.651970,0.562469,0.361212,72404,102
36,500,0.637933,0.520132,0.371453,73416,286
49,500,0.834575,0.663124,0.486621,72652,260
64,500,0.931066,0.736932,0.517158,73988,472
1,1000,6.953787,6.872312,0.070709,79176,17
4,1000,2.879974,2.781974,0.887844,80256,42
9,1000,2.180949,2.074364,0.964306,78464,86
16,1000,1.990656,1.865527,1.001905,77724,95
25,1000,1.920053,1.740560,1.062992,78404,104
36,1000,2.053303,1.712291,1.204871,77624,222
49,1000,2.177370,1.764914,1.273465,79680,451
64,1000,2.590157,2.347079,1.468362,83336,644
1,2000,55.212369,54.793154,0.376363,137424,141
4,2000,16.713718,16.455302,3.614113,112192,72
9,2000,10.583294,10.306138,3.588893,105388,94
16,2000,8.505046,8.233069,3.599715,103748,114
25,2000,7.789159,7.429067,3.724771,101444,124
36,2000,8.214403,7.157856,4.444127,102348,151
49,2000,7.780469,6.775285,4.359204,102660,319
64,2000,10.134866,9.447253,5.432205,103504,562
1,500,1.080521,1.067661,0.012832,64620,6
4,500,0.698233,0.646671,0.301920,71488,18
9,500,0.573589,0.513528,0.284969,72108,40
16,500,0.563350,0.490436,0.306324,71776,79
25,500,0.584680,0.498599,0.325705,72724,140
36,500,0.617420,0.485778,0.349758,71788,201
49,500,0.879558,0.703777,0.535694,73484,451
64,500,0.924314,0.726945,0.512596,75076,505
1,1000,6.973023,6.891244,0.073761,79376,20
4,1000,2.873683,2.777683,0.904519,79340,42
9,1000,2.195586,2.098981,0.976066,79332,97
16,1000,1.927417,1.795140,0.974361,76208,90
25,1000,1.936348,1.727900,1.053069,78364,105
36,1000,2.049967,1.713384,1.193779,78416,199
49,1000,2.175303,1.750940,1.320073,78932,277
64,1000,2.587146,2.349598,1.440453,82720,581
